Reference,Description,Quantity,Unit Price (USD),Total (USD),Supplier,Notes
,,ELECTRONICS,,,,
U1,ESP32 DevKit V1 38-pin,1,$6.50,$6.50,Amazon / Robu.in,Main microcontroller
M1-M4,MG996R Metal Gear Servo,4,$6.00,$24.00,Amazon / Robu.in,11kg/cm torque — one per joint
PSU1,5V 5A DC Power Supply,1,$8.50,$8.50,Amazon,Dedicated servo power rail
BC1,Buck Converter 12V to 5V 3A,1,$2.00,$2.00,Robu.in,Powers ESP32 from same PSU rail
LED1,Warm White LED Strip 12V 1m,1,$4.50,$4.50,Amazon,Inside lampshade — PWM dimmable
R1,100 Ohm resistor pack,1,$1.00,$1.00,Local electronics shop,LED current limiting
,,3D PRINTING (PCBWay),,,,
JB1-JB4,Joint Block SLA resin,4,$5.50,$22.00,PCBWay,One per arm segment — SLA for servo slot tolerance
BF1,Weighted Base Foot FDM PLA,1,$4.00,$4.00,PCBWay,Fill with sand post-print for stability
SH1,Lampshade cone 1mm aluminium sheet metal,1,$12.00,$12.00,PCBWay,Cut from DXF template — also acts as touch sensor
,,STRUCTURAL,,,,
R1-R4,Steel Rod 4mm dia 30cm,4,$1.00,$4.00,Local hardware store,2 rods per segment — parallelogram linkage
SP1,Tension springs assorted pack,1,$3.50,$3.50,Amazon / local,Spring-assisted joint support on base and lower arm
HW1,M3 Nuts and Bolts 50 set,1,$2.00,$2.00,Local hardware store,Joint assembly and servo horn mounting
HW2,Small metal L-brackets 4 pack,1,$2.50,$2.50,Local hardware store,Servo bracket mounts
AD1,Araldite Epoxy 2-part,1,$2.50,$2.50,Local hardware store,Bond servo brackets to rod ends
,,TOUCH AND WIRING,,,,
CF1,Copper Foil Tape 6mm 3m roll,1,$3.00,$3.00,Amazon,Touch zones on base and arm
WR1,22AWG Flexible Wire 5 colours 5m each,1,$3.50,$3.50,Local electronics shop,Signal and touch wires routed inside rods
WR2,Dupont Connector Kit with crimper,1,$5.00,$5.00,Amazon,Clean re-pluggable servo connections
HS1,Heat Shrink Tubing assorted pack,1,$2.00,$2.00,Local electronics shop,Insulate touch wires through metal rods
SD1,Solder Wire 60/40 rosin core with flux,1,$3.50,$3.50,Local electronics shop,
,,TOOLS AND CONSUMABLES,,,,
T1,Helping hands / PCB holder,1,$5.00,$5.00,Amazon,Useful for soldering servo connectors
T2,Isopropyl Alcohol 99% 100ml,1,$2.00,$2.00,Local pharmacy,Flux cleanup after soldering
,,SHIPPING,,,,
SH-PCB,PCBWay international shipping to India DHL,1,$12.00,$12.00,PCBWay,Estimate based on ~600g package
SH-AMZ,Amazon India shipping for electronics,1,$3.00,$3.00,Amazon.in,Combined order estimate
,,,,,,
,,TOTAL,,$138.00,USD,Approximate — local hardware prices may vary by region
